year,state,state_abbr,county,D_candidate_votes,R_candidate_votes,totalvotes,percent_republican,percent_democrat,%difference(d_favor),FIPS
2016,Virginia,VA,New Kent,3546,8118,12242,66.312694,28.96585525,-37.34683875,51127
2016,Virginia,VA,Northampton,3255,2686,6172,43.5191186,52.73817239,9.219053791,51131
2016,Virginia,VA,Northumberland,2852,4302,7398,58.15085158,38.55095972,-19.59989186,51133
2016,Virginia,VA,Nottoway,2829,3712,6744,55.04151839,41.94839858,-13.09311981,51135
2016,Virginia,VA,Orange,5957,10521,17270,60.92067169,34.49334105,-26.42733063,51137
2016,Virginia,VA,Page,2514,7831,10740,72.91433892,23.40782123,-49.50651769,51139
2016,Virginia,VA,Patrick,1768,6454,8525,75.70674487,20.73900293,-54.96774194,51141
2016,Virginia,VA,Pittsylvania,9199,21554,31598,68.21317805,29.11260206,-39.10057599,51143
2016,Virginia,VA,Powhatan,4060,11885,16900,70.32544379,24.02366864,-46.30177515,51145
2016,Virginia,VA,Prince Edward,4591,4101,9143,44.85398666,50.21327792,5.359291261,51147
2016,Virginia,VA,Prince George,6419,9157,16184,56.58057341,39.66262976,-16.91794365,51149
2016,Virginia,VA,Prince William,113144,71721,196538,36.49217963,57.56851092,21.07633129,51153
2016,Virginia,VA,Pulaski,4172,10322,15167,68.05564713,27.50708776,-40.54855937,51155
2016,Virginia,VA,Rappahannock,1747,2539,4483,56.63618113,38.96944011,-17.66674102,51157
2016,Virginia,VA,Richmond,1347,2213,3661,60.44796504,36.79322589,-23.65473914,51159
2016,Virginia,VA,Roanoke,17200,31408,51489,60.99943677,33.40519334,-27.59424343,51161
2016,Virginia,VA,Rockbridge,3508,6680,10795,61.88050023,32.49652617,-29.38397406,51163
2016,Virginia,VA,Rockingham,9366,25990,37487,69.33070131,24.98466135,-44.34603996,51165
2016,Virginia,VA,Russell,2330,9521,12246,77.74783603,19.02662094,-58.72121509,51167
2016,Virginia,VA,Scott,1581,8247,10100,81.65346535,15.65346535,-66,51169
2016,Virginia,VA,Shenandoah,5273,14094,20513,68.70764881,25.70565008,-43.00199873,51171
2016,Virginia,VA,Smyth,2665,9750,12890,75.64003103,20.67494182,-54.96508922,51173
2016,Virginia,VA,Southampton,3595,5035,8878,56.7132237,40.49335436,-16.21986934,51175
2016,Virginia,VA,Spotsylvania,24207,34623,62562,55.34190083,38.69281673,-16.64908411,51177
2016,Virginia,VA,Stafford,27908,33868,65934,51.36651803,42.32717566,-9.039342373,51179
2016,Virginia,VA,Surry,2272,1819,4228,43.02270577,53.73699149,10.71428571,51181
2016,Virginia,VA,Sussex,2879,2055,5044,40.74147502,57.0777161,16.33624108,51183
2016,Virginia,VA,Tazewell,2895,15168,18566,81.69772703,15.5930195,-66.10470753,51185
2016,Virginia,VA,Warren,5169,11773,17960,65.55122494,28.78062361,-36.77060134,51187
2016,Virginia,VA,Washington,5553,19320,25847,74.74755291,21.48411808,-53.26343483,51191
2016,Virginia,VA,Westmoreland,3836,4448,8574,51.87777,44.73991136,-7.137858642,51193
2016,Virginia,VA,Wise,2701,12086,15163,79.70718196,17.81309767,-61.89408428,51195
2016,Virginia,VA,Wythe,2770,10046,13343,75.29041445,20.75994904,-54.53046541,51197
2016,Virginia,VA,York,12999,18837,34118,55.2113254,38.1001231,-17.1112023,51199
2016,Virginia,VA,Alexandria,57242,13285,75770,17.53332453,75.54705028,58.01372575,51510
2016,Virginia,VA,Bedford,,,0,,,0,51515
2016,Virginia,VA,Bristol,1835,4892,7032,69.56769056,26.09499431,-43.47269625,51520
2016,Virginia,VA,Buena Vista,693,1430,2407,59.41005401,28.79102617,-30.61902784,51530
2016,Virginia,VA,Charlottesville,17901,2960,22472,13.17194731,79.65913136,66.48718405,51540
2016,Virginia,VA,Chesapeake,52627,54047,112705,47.95439421,46.69446786,-1.259926356,51550
2016,Virginia,VA,Colonial Heights,2367,5681,8457,67.1751212,27.98864846,-39.18647274,51570
2016,Virginia,VA,Covington,914,1349,2382,56.63308144,38.37111671,-18.26196474,51580
2016,Virginia,VA,Danville,11059,7303,18952,38.53419164,58.35268046,19.81848881,51590
2016,Virginia,VA,Emporia,1530,789,2367,33.33333333,64.63878327,31.30544994,51595
2016,Virginia,VA,Fairfax,7367,3702,12030,30.77306733,61.23857024,30.46550291,51600
2016,Virginia,VA,Falls Church,5819,1324,7757,17.0684543,75.01611448,57.94766018,51610
2016,Virginia,VA,Franklin,2519,1421,4070,34.91400491,61.89189189,26.97788698,51620
